card_name,nf_qty,f_qty,is_bulk
apothecary geist,NA,NA,TRUE
apprentice wizard,1,NA,NA
aqueous form,4,NA,NA
arashin cleric,1,NA,TRUE
arashin foremost,1,NA,NA
arashin sovereign,2,NA,NA
arashin war beast,NA,NA,TRUE
arbiter of the ideal,2,1,NA
arbor colossus,2,NA,NA
arbor elf,6,NA,NA
arc lightning,3,NA,NA
arc mage,NA,NA,TRUE
arcane denial,0,NA,NA
arcane laboratory,1,NA,NA
arcane melee,2,1,NA
arcanis the omnipotent,1,1,NA
arcbound stinger,0,NA,NA
archaeomancer,3,NA,NA
archangel,0,NA,NA
archangel avacyn,1,NA,NA
archangel's light,1,NA,NA
archers of qarsi,NA,NA,TRUE
archers' parapet,8,NA,NA
archetype of aggression,4,NA,NA
archetype of courage,4,NA,NA
archetype of endurance,2,NA,NA
archetype of finality,2,NA,NA
archetype of imagination,4,NA,NA
archive trap,1,NA,NA
archivist,2,NA,NA
archon of the triumvirate,1,NA,NA
archweaver,NA,NA,TRUE
arctic merfolk,NA,NA,TRUE
ardent militia,1,NA,NA
ardent militia,NA,NA,TRUE
ardent soldier,NA,NA,TRUE
arena athlete,NA,NA,TRUE
argivian restoration,2,NA,NA
argothian swine,NA,NA,TRUE
ark of blight,1,NA,NA
arlinn kord,1,NA,NA
armadillo cloak,1,NA,NA
armament corps,2,NA,NA
armament of nyx,1,NA,NA
armillary sphere,0,NA,NA
armor of faith,NA,NA,TRUE
armored cancrix,NA,NA,TRUE
armored transport,NA,NA,TRUE
armored wolf-rider,NA,1,TRUE
armory guard,4,NA,NA
armory guard,NA,NA,TRUE
armory of iroas,1,NA,NA
army of the damned,1,NA,NA
arrest,1,NA,NA
arrow storm,2,NA,NA
arrows of justice,3,NA,NA
artful dodge,0,NA,NA
artful maneuver,4,NA,NA
artificer's epiphany,5,NA,NA
artificer's hex,NA,NA,TRUE
artisan of forms,1,NA,NA
artisan of kozilek,2,NA,NA
artisan's sorrow,4,NA,NA
ascended lawmage,3,NA,NA
ascending aven,NA,NA,TRUE
ashen rider,1,NA,NA
ashenmoor gouger,2,NA,NA
ashenmoor liege,1,NA,NA
"ashiok, nightmare weaver",1,NA,NA
ashiok's adept,NA,NA,TRUE
ashmouth hound,NA,NA,TRUE
ashnod's altar,1,NA,NA
ashnod's transmogrant,NA,NA,TRUE
aspect of gorgon,NA,NA,TRUE
aspect of hydra,4,NA,NA
aspect of mongoose,1,NA,NA
asphodel wanderer,NA,NA,TRUE
asphyxiate,5,NA,NA
aspiring aeronaut,NA,NA,TRUE
assassin's strike,NA,NA,TRUE
assault formation,4,NA,NA
assault griffin,NA,NA,TRUE
assault suit,2,NA,NA
astral cornucopia,2,NA,NA
astral steel,NA,NA,TRUE
atarka beastbreaker,NA,NA,TRUE
atarka efreet,NA,NA,TRUE
atarka monument,2,NA,NA
atarka pummeler,3,NA,NA
"atarka, world render",1,NA,NA
atarka's command,1,NA,NA
"athreos, god of passage",2,NA,NA
atog,1,NA,NA
attune with aether,1,NA,NA
auger spree,4,NA,NA
augur of bolas,1,NA,NA
aura blast,1,NA,NA
aura extraction,NA,NA,TRUE
aura fracture,1,NA,NA
aura thief,1,NA,NA
auramancer,8,NA,NA
"aurelia, the warleader",1,NA,NA
aurochs,NA,NA,TRUE
autumnal gloom,3,NA,NA
avacynian missionaries,1,NA,NA
avacynian priest,NA,NA,TRUE
avarice amulet,1,NA,NA
aven battle priest,NA,NA,TRUE
aven farseer,NA,NA,TRUE
aven fisher,NA,NA,TRUE
aven redeemer,NA,NA,TRUE
aven skirmisher,NA,NA,TRUE
aven sunstriker,1,NA,NA
aven surveyor,NA,NA,TRUE
aven tactician,NA,NA,TRUE
aven windreader,NA,NA,TRUE
avenging arrow,1,NA,NA
awaken the bear,NA,NA,TRUE
awe for the guilds,4,NA,NA
axebane guardian,3,NA,NA
axebane stag,NA,NA,TRUE
aysen bureaucrats,NA,NA,TRUE
azorius arrester,3,NA,NA
azorius chancery,2,NA,NA
azorius cluestone,5,NA,NA
azorius guildgate,11,NA,NA
azorius herald,1,NA,NA
azorius justiciar,2,NA,NA
azorius signet,2,NA,NA
azor's elocutors,1,NA,NA
azure mage,2,NA,NA
"azusa, lost but seeking (p)",1,NA,NA
back to nature,1,NA,NA
backslide,1,NA,NA
baleful eidolon,4,NA,NA
baleful force,0,NA,NA
ballyrush banneret,2,NA,NA
baloth null,2,NA,NA
baloth woodcrasher,1,NA,NA
balshan griffin,NA,NA,TRUE
bane alley blackguard,NA,NA,TRUE
bane alley broker,3,NA,NA
bane of progress,1,NA,NA
banefire,1,NA,NA
banisher priest,3,NA,NA
banishing light,0,NA,NA
banners raised,NA,NA,TRUE
bar the door,1,NA,NA
barbarian bully,NA,NA,TRUE
barbarian lunatic,NA,NA,TRUE
barbed sextant,NA,NA,TRUE
barrage of boulders,4,NA,NA
barrage of expendables,3,NA,NA
barrage tyrant,2,NA,NA
barren moor,1,NA,NA
barrin's unmaking,NA,NA,TRUE
"basandra, battle seraph",2,NA,NA
basilica guards,3,NA,NA
basilica screecher,3,NA,NA
bassara tower archer,2,NA,NA
bastion enforcer,NA,NA,TRUE
bastion inventor,2,NA,NA
bathe in dragonfire,4,NA,NA
batterhorn,1,NA,NA
battering krasis,4,NA,NA
battering ram,NA,NA,TRUE
battle brawler,NA,NA,TRUE
battle mastery,3,NA,NA
battle of wits,1,NA,NA
battle rampart,1,NA,NA
battle strain,1,NA,NA
battlefield forge,2,NA,NA
battlefield thaumaturge,3,NA,NA
battlegrace angel,1,NA,NA
battlegrace angel,1,NA,NA
battlewise valor,NA,NA,TRUE
bearer of the heavens,1,NA,NA
bear's companion,3,NA,NA
beast attack,NA,NA,TRUE
beast within,1,NA,NA
beastmaster ascension,0,NA,NA
beck // call,1,NA,NA
beckon apparition,5,NA,NA
become immense,3,NA,NA
beetleform mage,NA,1,TRUE
befoul,1,NA,NA
beguiler of wills,1,NA,NA
behemoth sledge,1,NA,NA
behind the scenes,1,NA,NA
belbe's armor,1,NA,NA
belbe's percher,NA,NA,TRUE
belligerent sliver,3,NA,NA
belligerent whiptail,NA,NA,TRUE
bellowing saddlebrute,NA,NA,TRUE
bellows lizard,NA,NA,TRUE
belltoll dragon,2,NA,NA
benalish hero,1,NA,NA
benevolent bodyguard,2,NA,NA
benthic infiltrator,1,NA,NA
bereavement,1,NA,NA
berserkers' onslaught,1,NA,NA
bestial menace,1,NA,NA
bident of thassa,2,NA,NA
bile blight,2,NA,NA
binding mummy,NA,NA,TRUE
biomass mutation,1,NA,NA
bioshift,4,NA,NA
biovisionary,1,NA,NA
birchlore rangers,1,NA,NA
bird maiden,NA,NA,TRUE
birthing hulk,NA,NA,TRUE
biting rain,2,NA,NA
bitter revelation,6,NA,NA
black cat,4,NA,NA
black mana battery,NA,NA,TRUE
black oak of odunos,3,NA,NA
bladed bracers,2,NA,NA
bladetusk boar,NA,NA,TRUE
blast of genius,2,NA,NA
blastfire bolt,2,NA,NA
blatant thievery,0,NA,NA
blaze commando,2,NA,NA
blazing hellhound,NA,NA,TRUE
blazing salvo,1,NA,NA
blazing torch,NA,NA,TRUE
blessed orator,1,NA,NA
blessed spirits,2,NA,NA
blessing,NA,NA,TRUE
blessings of nature,2,NA,NA
blight,1,NA,NA
blightcaster,6,NA,NA
blighted agent,1,NA,NA
blighted cataract,2,NA,NA
blighted fen,2,NA,NA
blighted gorge,1,NA,NA
blighted steppe,2,NA,NA
blighted woodland,0,NA,NA
blightning,1,NA,NA
blind hunter,2,NA,NA
blind obedience,1,NA,NA
blinding angel,1,NA,NA
blinding angel,0,NA,NA
blinding drone,NA,NA,TRUE
blinding flare,NA,NA,TRUE
blinding spray,NA,NA,TRUE
blinkmoth urn,1,NA,NA
blistercoil weird,4,NA,NA
blisterpod,2,NA,NA
blitz hellion,1,NA,NA
blood artist,0,NA,NA
blood bairn,4,NA,NA
blood feud,NA,NA,TRUE
blood host,1,NA,NA
blood lust,NA,NA,TRUE
blood pet,1,NA,NA
blood reckoning,2,NA,NA
bloodbond vampire,2,NA,NA
blood-chin fanatic,1,NA,NA
bloodcrazed hoplite,NA,NA,TRUE
blood-cursed knight,2,NA,NA
bloodfell caves,6,NA,NA
bloodfire expert,NA,NA,TRUE
bloodfire mentor,NA,NA,TRUE
bloodflow connoisseur,2,NA,NA
bloodfray giant,1,NA,NA
bloodhunter bat,NA,NA,TRUE
bloodhusk ritualist,1,NA,NA
bloodmad vampire,3,NA,NA
bloodrage vampire,NA,NA,TRUE
bloodsoaked champion,1,NA,NA
bloodstained mire,3,NA,NA
bloodstoke howler,1,NA,NA
bloodthrone vampire,1,NA,NA
blood-toll harpy,NA,NA,TRUE
blossoming sands,1,NA,NA
blue sun's zenith,2,NA,NA
blustersquall,4,NA,NA
bog imp,NA,NA,TRUE
bog initiate,NA,NA,TRUE
bog wraith,NA,NA,TRUE
boggart brute,NA,NA,TRUE
boggart forager,1,NA,NA
boggart ram-gang,1,NA,NA
boil,1,NA,NA
boiling earth,4,NA,TRUE
bola warrior,NA,NA,TRUE
bolt of keranos,4,NA,NA
boltwing marauder,1,NA,NA
bond beetle,3,NA,NA
bonded construct,NA,NA,TRUE
bonds of faith,3,NA,NA
bone saw,2,NA,NA
bone splinters,6,NA,NA
bone to ash,3,NA,NA
boneknitter,2,NA,NA
bonescythe sliver,1,NA,NA
bonesplitter sliver,1,NA,NA
bonethorn valesk,NA,NA,TRUE
boneyard wurm,1,NA,NA
book burning,NA,NA,TRUE
boomerang,2,NA,NA
boon of erebos,NA,NA,TRUE
boon satyr,1,NA,NA
boonweaver giant,1,NA,NA
borborygmos enraged,1,NA,NA
border patrol,NA,NA,TRUE
borderland marauder,4,NA,NA
borderland minotaur,NA,NA,TRUE
borderland ranger,5,NA,NA
boros battleshaper,2,NA,NA
boros charm,1,NA,NA
boros cluestone,5,NA,NA
boros garrison,3,NA,NA
boros guildgate,21,NA,NA
boros mastiff,NA,NA,TRUE
boros recruit,1,NA,NA
boros signet,4,NA,NA
boros swiftblade,2,NA,NA
bosk banneret,1,NA,NA
bottle of suleiman,NA,NA,TRUE
boulder salvo,NA,NA,TRUE
boulderfall,NA,NA,TRUE
bounding krasis,3,NA,NA
bountiful harvest,1,NA,NA
bounty of the hunt,NA,NA,TRUE
bow of nylea,1,NA,NA
bower passage,2,NA,NA
brain maggot,3,NA,NA
brain weevil,NA,NA,TRUE
brainstorm,1,NA,NA
brainwash,1,NA,NA
bramblecrush,4,NA,NA
brassclaw orcs,NA,NA,TRUE
brave the elements,4,NA,NA
brave the sands,2,NA,NA
brawler's plate,1,NA,NA
brawn,2,NA,NA
breaching hippocamp,NA,NA,TRUE
breaching leviathan,2,NA,NA
break of day,NA,NA,TRUE
breaker of armies,2,NA,NA
breaking // entering,2,NA,NA
breaking point,1,NA,NA
breakneck rider,1,NA,NA
breakthrough,1,NA,NA
breath of life,3,NA,NA
bred for the hunt,3,NA,NA
briarbridge patrol,1,NA,NA
briarpack alpha,NA,1,TRUE
briber's purse,NA,NA,TRUE
brightstone ritual,1,NA,NA
brilliant plan,1,NA,NA
brilliant spectrum,NA,NA,TRUE
brimstone volley,1,NA,NA
brindle boar,NA,NA,TRUE
brine elemental,2,NA,NA
bring low,1,NA,TRUE
broken ambitions,1,NA,NA
broken concentration,1,NA,NA
bronze sable,NA,NA,TRUE
bronzebeak moa,3,NA,NA
brood keeper,3,NA,NA
brood monitor,2,1,NA
broodhunter wurm,NA,NA,TRUE
brothers of fire,NA,NA,TRUE
browbeat,2,NA,NA
brushstrider,NA,NA,TRUE
brutal expulsion,3,NA,NA
brutal hordechief,1,NA,NA
brute strength,1,NA,NA
bubbling cauldron,3,NA,NA
bump in the night,4,NA,NA
burden of guilt,NA,NA,TRUE
buried ruin,1,NA,NA
burn away,1,NA,NA
burning anger,1,NA,NA
burning earth,1,NA,NA
burning oil,NA,NA,TRUE
burning vengeance,1,NA,NA
burning-tree bloodscale,NA,NA,TRUE
burning-tree emissary,3,NA,NA
burnished hart,0,NA,NA
burrenton bombardier,NA,NA,TRUE
burrenton shield-bearers,NA,NA,TRUE
burst of strength,3,NA,NA
butcher of the horde,1,NA,NA
butcher's glee,NA,NA,TRUE
bygone bishop,4,NA,NA
byway courier,5,NA,NA
cabal executioner,NA,NA,TRUE
cabal slaver,NA,NA,TRUE
cabal surgeon,NA,NA,TRUE
cabal trainee,NA,NA,TRUE
cackling counterpart,3,NA,NA
cagemail,NA,NA,TRUE
calculated dismissal,6,NA,NA
call of the conclave,2,NA,NA
call of the nightwing,2,NA,NA
call the bloodline,3,NA,NA
call the scions,4,NA,NA
call to mind,1,NA,NA
call to serve,2,NA,NA
call to the kindred,1,NA,NA
cancel,4,NA,NA
canopy claws,NA,NA,TRUE
canopy crawler,NA,NA,TRUE
canopy gorger,NA,NA,TRUE
canopy spider,NA,NA,TRUE
canopy vista,2,NA,NA
canyon lurkers,NA,NA,TRUE
canyon minotaur,NA,NA,TRUE
canyon wildcat,NA,NA,TRUE
capashen knight,NA,1,TRUE
capsize,1,NA,NA
captain of the mists,1,NA,NA
captain of the watch,2,NA,NA
captain's claws,1,NA,NA
carapace,1,NA,NA
carbonize,1,NA,NA
careful consideration,1,NA,NA
carnage gladiator,3,NA,NA
carnival hellsteed,1,NA,NA
carnivorous moss-beast,NA,NA,TRUE
carnivorous plant,NA,NA,TRUE
carpet of flowers,1,NA,NA
carrier thrall,2,NA,NA
carrion ants,NA,NA,TRUE
carrion crow,NA,NA,TRUE
cartel aristocrat,2,NA,NA
cartographer,1,NA,NA
carven caryatid,1,NA,NA
cast into darkness,NA,NA,TRUE
castigate,1,NA,NA
castle,1,NA,NA
cat warriors,NA,NA,TRUE
cataclysm,NA,1,NA
catacomb sifter,2,NA,NA
catacomb slug,NA,NA,TRUE
catalog,8,NA,NA
catch // release,1,NA,NA
cathar's companion,5,NA,NA
cathar's shield,1,NA,NA
cathodion,1,NA,NA
caustic caterpillar,5,NA,NA
caustic tar,NA,NA,TRUE
cavalry pegasus,4,NA,NA
cavern lampad,1,NA,NA
cease-fire,NA,NA,TRUE
celestial archon,2,NA,NA
celestial flare,5,NA,NA
cellar door,2,NA,NA
cemetery puca,1,NA,NA
cenn's tactician,3,NA,NA
centaur battlemaster,4,NA,NA
centaur courser,NA,NA,TRUE
centaur healer,3,NA,NA
centaur safeguard,NA,NA,TRUE
centaur's herald,2,NA,NA
center soul,4,NA,NA
cephalid pathmage,1,NA,NA
ceremonious rejection,0,NA,NA
chain of vapor,1,NA,NA
chainflinger,NA,NA,TRUE
chalice of life,1,NA,NA
champion of arashin,NA,NA,TRUE
champion of stray souls,1,NA,NA
champion of the parish,2,NA,NA
chandra's fury,5,NA,NA
chandra's outrage,4,NA,NA
chandra's phoenix,3,NA,NA
channel harm,1,NA,NA
chant of the skifsang,NA,NA,TRUE
chapel geist,NA,NA,TRUE
chaplain's blessing,NA,NA,TRUE
charging badger,NA,NA,TRUE
charging griffin,NA,NA,TRUE
charging paladin,1,NA,NA
charging rhino,NA,NA,TRUE
charging slateback,NA,NA,TRUE
chariot of victory,1,NA,NA
chasm guide,2,NA,NA
chastise,1,NA,NA
chemister's trick,NA,NA,TRUE
chief of the edge,1,NA,NA
chief of the scale,4,NA,NA
chieftain en-dal,NA,NA,TRUE
child of night,4,NA,NA
chimney imp,1,NA,NA
choked estuary,1,NA,NA
chord of calling,1,NA,NA
chorus of might,4,NA,NA
chorus of the conclave,1,NA,NA
chorus of the tides,NA,NA,TRUE
chosen by heliod,4,NA,NA
chosen of markov,NA,NA,TRUE
chromanticore,2,NA,NA
chromatic lantern,1,NA,NA
chromeshell crab,1,NA,NA
chronic flooding,4,NA,NA
chronicler of heroes,3,NA,NA
chronostutter,NA,NA,TRUE
churning eddy,1,NA,TRUE
cinder barrens,1,NA,NA
cinder glade,2,NA,NA
cinder hellion,NA,NA,TRUE
circle of elders,2,NA,NA
circle of flame,1,NA,NA
circle of protection: artifacts,2,NA,NA
circle of protection: black,4,NA,NA
circle of protection: blue,3,NA,NA
circle of protection: green,3,NA,NA
circle of protection: red,2,NA,NA
circle of protection: white,3,NA,NA
"circu, dimir lobotomist",1,NA,NA
citadel castellan,2,NA,NA
claim of erebos,NA,NA,TRUE
clan defiance,1,NA,NA
claustrophobia,6,NA,NA
claws of wirewood,NA,NA,TRUE
clay statue,NA,NA,TRUE
cleansing meditation,1,NA,NA
clear a path,NA,NA,TRUE
cleaver riot,1,NA,NA
cleric of the forward order,NA,NA,TRUE
cliffside lookout,4,NA,NA
clifftop retreat,1,NA,NA
clinging anemones,2,NA,NA
clinging mists,4,NA,NA
clip wings,4,NA,NA
cloaked siren,NA,NA,TRUE
clock of omens,1,NA,NA
clockwork beast,0,NA,NA
clockwork beast,NA,NA,TRUE
clockwork steed,NA,NA,TRUE
clone,0,NA,NA
cloud elemental,NA,NA,TRUE
cloud key,0,NA,NA
cloudfin raptor,4,NA,NA
cloudskate,NA,NA,TRUE
clutch of currents,3,NA,NA
clutch of the undercity,1,NA,NA
coal stoker,1,NA,NA
coast watcher,NA,NA,TRUE
coastal discovery,2,NA,NA
coastal drake,NA,NA,TRUE
coastal hornclaw,NA,NA,TRUE
coastal piracy,1,NA,NA
coastline chimera,NA,NA,TRUE
coat with venom,NA,NA,TRUE
coax from the blind eternities,2,NA,NA
cobblebrute,NA,NA,TRUE
coercion,3,NA,NA
coercive portal,1,NA,NA
coffin purge,NA,NA,TRUE
cognivore,1,NA,NA
coiling oracle,2,NA,NA
collateral damage,2,NA,NA
collective unconscious,0,NA,NA
colossal heroics,NA,NA,TRUE
colossodon yearling,NA,NA,TRUE
commander's sphere,2,NA,NA
commencement of festivities,1,NA,NA
common bond,4,NA,NA
commune with lava,1,NA,NA
commune with nature,1,NA,NA
comparative analysis,1,NA,NA
complete disregard,4,NA,NA
compulsion,2,NA,NA
compulsive research,2,NA,NA
compulsory rest,NA,NA,TRUE
concentrate,2,NA,NA
conclave naturalists,2,NA,NA
conclave phalanx,1,NA,NA
concordant crossroads,1,NA,NA
concordia pegasus,NA,NA,TRUE
conduit of ruin,1,NA,NA
cone of flame,2,NA,NA
confirm suspicions,2,NA,NA
confiscate,1,NA,NA
confront the unknown,4,NA,NA
congregate,3,NA,NA
conifer strider,1,NA,NA
conjured currency,1,NA,NA
conjurer's ban,1,NA,NA
consecrated by blood,NA,NA,TRUE
consecrated sphinx,1,NA,NA
consign to dust,2,NA,NA
constricting sliver,2,NA,NA
consulate skygate,0,NA,TRUE
consulate turret,1,NA,NA
consul's lieutenant,2,NA,NA
consult the necrosages,2,NA,NA
consuming bonfire,1,NA,NA
consuming sinkhole,NA,NA,TRUE
containment membrane,4,NA,NA
contaminated ground,2,NA,NA
contested cliffs,1,NA,NA
contradict,4,NA,NA
convicted killer,4,NA,NA
coordinated assault,3,NA,NA
copperhoof vorrac,1,NA,NA
copy enchantment,2,NA,NA
coral atoll,1,NA,NA
coral barrier,4,NA,NA
coral eel,NA,NA,TRUE
coral merfolk,NA,1,TRUE
coralhelm guide,NA,NA,TRUE
corpse connoisseur,1,NA,NA
corpse hauler,NA,NA,TRUE
corpse lunge,NA,NA,TRUE
corpsejack menace,NA,1,NA
corpseweft,1,NA,NA
corrupt,3,NA,NA
corrupted crossroads,1,NA,NA
corrupted grafstone,0,NA,NA
council of the absolute,1,NA,NA
counsel of the soratami,1,NA,NA
counterflux,1,NA,NA
counterlash,1,NA,NA
countermand,1,NA,NA
counterspell,3,NA,NA
countersquall,1,NA,NA
courier griffin,NA,NA,TRUE
courser of kruphix,2,NA,NA
coursers' accord,4,NA,NA
court street denizen,5,NA,NA
covenant of blood,NA,NA,TRUE
cower in fear,3,NA,NA
cowl prowler,2,NA,NA
crackdown construct,0,NA,TRUE
crackling triton,NA,NA,TRUE
cradle of vitality,1,NA,NA
crafty pathmage,NA,NA,TRUE
cranial archive,0,NA,NA
crater elemental,1,NA,NA
crater hellion,1,NA,NA
craterize,3,NA,NA
craven knight,NA,NA,TRUE
craw wurm,NA,NA,TRUE
crawling sensation,2,NA,NA
crawlspace,1,NA,NA
creature bond,NA,NA,TRUE
creeperhulk,1,NA,NA
creeping corrosion,2,NA,NA
creeping dread,2,NA,NA
creeping renaissance,1,NA,NA
creepy doll,0,0,NA
cremate,4,NA,NA
crenellated wall,0,NA,TRUE
crested craghorn,NA,NA,TRUE
crippling blight,NA,NA,TRUE
crippling chill,8,NA,NA
crocanura,4,NA,NA
crookclaw elder,1,NA,NA
crop rotation,1,NA,NA
crop sigil,1,NA,NA
crosis's charm,1,NA,NA
crosstown courier,NA,NA,TRUE
crossway vampire,4,NA,NA
crowd's favor,NA,NA,TRUE
crown of doom,2,NA,NA
crown of suspicion,NA,NA,TRUE
crown of vigor,NA,NA,TRUE
crowned ceratok,2,NA,NA
crucible of fire,1,NA,NA
crucible of worlds,1,NA,NA
cruel feeding,NA,NA,TRUE
cruel finality,1,NA,NA
cruel revival,2,NA,NA
cruel sadist,1,NA,NA
cruel ultimatum,1,NA,NA
crumbling vestige,2,NA,NA
crusader of odric,1,NA,NA
crushing vines,3,NA,NA
crypsis,3,1,NA
crypt creeper,NA,NA,TRUE
crypt incursion,3,NA,NA
crypt sliver,1,NA,NA
cryptic command,0,NA,NA
cryptic cruiser,NA,NA,TRUE
cryptolith fragment,1,NA,NA
crystal ball,2,NA,NA
crystal vein,1,NA,NA
culling drone,NA,NA,TRUE
culling mark,4,NA,NA
cult of the waxing moon,1,NA,NA
cultivate,1,NA,NA
cultivator drone,NA,NA,TRUE
cunning breezedancer,2,NA,NA
cunning strike,NA,NA,TRUE
curious homunculus,0,NA,NA
curse of chaos,1,NA,NA
curse of inertia,1,NA,NA
curse of misfortunes,1,NA,NA
curse of oblivion,1,NA,NA
curse of predation,0,NA,NA
curse of shallow graves,2,NA,NA
curse of the bloody tome,0,NA,NA
curse of the forsaken,1,NA,NA
curse of the nightly hunt,1,NA,NA
curse of the swine,1,NA,NA
curse of thirst,4,NA,NA
